,Time Stamp,User,Bot
0,2022-12-05 02:01:55.416067,the sky is blue,My heart is with you.
1,2022-12-05 02:02:05.641873,That is so sweet!,These saved me while trying to find a couch.
2,2022-12-05 02:02:33.343314,That is such an interesting response,I've spent weeks trying to go halfway between my needs (mental health) and trying to keep a good relationship with my group of friends and realized that it was not a good way to go.
3,2022-12-05 02:03:28.050483,That does not sound fun,You are absolutely gorgeous!
4,2022-12-05 02:03:36.234238,Thank you! What do you look like,!!!
5,2022-12-05 02:04:23.570061,Roses are red,My mother won't message me for long periods of time as a passive aggressive way to show me she doesn't care and I need to be the first to message always.
6,2022-12-05 02:04:50.580748,"That sucks, I'm sorry",I think prom is one of the few times you get to really bust-a-move with the fanciness.
7,2022-12-05 02:05:04.020795,I think formals in college allow you to do that too,You’re absolutely gorgeous!
8,2022-12-05 02:05:07.512574,Thanks!,I thought that was special.
9,2022-12-05 02:05:20.096692,That was very special for you to say. I really appreciated it,!!!!!!!
10,2022-12-05 02:05:54.328298,The doctor is kinda sexy,Your bi auntie here: you're SLAYING!!!
11,2022-12-05 02:06:39.114519,Thanks Queen! Who is your auntie,I mean...
12,2022-12-05 02:06:43.704831,You mean what?,"I love the train and the embroidery work, too."
13,2022-12-05 02:06:52.232010,Are you going to a wedding?,!!!
14,2022-12-05 02:07:42.047204,That's awesome,"!,!!?!!!!!,,!,!!,?!,.!!.!,'!!'!, thanks!!!!!! :)!!?!!! thanks!"
15,2022-12-05 02:08:05.447350,I need help,This is a beautiful gift.
16,2022-12-05 02:08:26.036112,"I'm not sure what you consider to be a gift, but I don't consider this to be a gift","My mom was killed when I was 14, in 2008."
17,2022-12-05 02:08:53.368473,Was that a gift?,You’re welcome sweetheart 🥰 your happiness makes me happy.
18,2022-12-05 02:09:05.528609,You don't make me happy,!
19,2022-12-05 02:09:17.028974,! what?,!!!!!!!!!!?!!!?!!
20,2022-12-05 02:09:38.781790,You are not a very wholesome person,I’m so happy for you and I’d say it found you
21,2022-12-05 02:09:46.760046,What did you find?,Congratulations!
22,2022-12-05 02:09:57.682528,This is an interesting thing you have pointed out,You look great!
23,2022-12-05 02:10:04.201009,Thanks! What do you look like?,!!!
24,2022-12-05 02:10:09.337366,Why do you love !,!?!!?
