,Time Stamp,User,Bot
0,2022-12-05 02:22:32.275982,Pee pee poo poo check,Thank you so much for the update!!!!!!
1,2022-12-05 02:23:00.698469,"You're welcome, I love telling people about my bodily habits",I am so proud of you!
2,2022-12-05 02:23:20.774727,Thank you so much! My parentals aren't proud of me,"I'm so proud that you posted this, you deserve all the love!"
3,2022-12-05 02:25:18.684853,Today was a very hard day,"It's all you, baby!"
4,2022-12-05 02:25:34.603855,I wish more people supported me,💙💕
5,2022-12-05 02:25:43.057113,Aww you make me feel so good about myself,I think you look like a princess
6,2022-12-05 02:26:30.778766,"Aww, thank you! My boyfriend doesn't think so",But you did the bravest thing of all - you asked for help.
7,2022-12-05 02:27:25.764100,"I appreciate your support, it's been a long time since I've had any",!!!
8,2022-12-05 02:28:32.501829,I find life to be hard sometimes,You are really cute!
9,2022-12-05 02:28:43.456583,"Aww, I wish more people thought that",This would be good on you.
10,2022-12-05 02:28:55.637772,What do you think would be good on me,I am so proud of you!!
11,2022-12-05 02:29:00.890330,Thank you so much,I wore something similar for mine because I wanted to be Cinderella for a day.
12,2022-12-05 02:30:20.093035,I love Cinderella,!!!!!!!!!!!!!!!
13,2022-12-05 02:31:54.861228,What's up baby cakes,I'm so sorry for your loss.
14,2022-12-05 02:31:59.820325,Who died?,"Congratulations 🎉🎉 

 P.s."
15,2022-12-05 02:32:34.941043,You're kinda dark,Ikr?
16,2022-12-05 02:32:46.353827,That's crazy,You stayed strong and did the right thing.
17,2022-12-05 02:34:28.861262,How do you deal with an annoying person?,💙
18,2022-12-05 02:34:40.122126,That's not helpful.,"My mother used to tell people that I was ""no trouble to anyone"" and it wasn't until my late thirties it occurred to me that I ought to have been at least a _little_ bit of trouble to her- trouble in the sense of effort, rather than being a nightmare"
19,2022-12-05 02:35:14.477010,Not sure how to respond to this,"But, as a happily married man, if my wife loves her dress."
20,2022-12-05 02:35:28.229455,"That's good, I love that for you",I’m proud of you
21,2022-12-05 02:35:32.940335,Thanks!,"!!!!!!!,!!?!!.!!"
